#Format: Slots,Skill1,Points1,Skill2,Points2
0,Normal Up,3,FreeElemnt,4
3,Hearing,3,Guard Up,1
1,Handicraft,4,Elemental,-2
1,LightEater,7,,
0,Reload Spd,6,TeamPlayer,5
0,Water Atk,6,Constitutn,2
2,Gloves Off,7,Poison,-2
0,Mycology,8,KO,-1
0,Guard,3,CritStatus,5
1,Mycology,6,Dragon Atk,3
2,Spirit,5,,
0,Wind Res,3,Expert,14
0,PunishDraw,4,CritElemnt,5
0,Guard Up,8,Reload Spd,6
0,Sheathing,8,PunishDraw,6
0,Survivor,5,Attack,11
3,LightEater,8,Potential,-1
0,Sheathing,8,Destroyer,3
3,Pierce Up,3,Bomb Boost,6
0,Spirit,4,Evasion,9
0,Recoil,4,Ice Atk,13
3,Dead Eye,4,,
0,Potential,7,Dragon Res,14
0,FreeElemnt,4,Dragon Res,10
0,Potential,6,Hearing,4
0,Water Atk,5,Psychic,11
0,Handicraft,4,Stun,13
3,Water Atk,5,Pellet Up,4
3,KO,8,,
0,Wind Res,4,Stun,11
3,Stamina,3,Fencing,5
0,Tranquilzr,5,Rec Speed,5
3,Potential,7,Stamina,3
2,Reload Spd,3,TeamLeader,9
0,Hearing,3,Reload Spd,5
0,Fire Atk,7,SpeedSetup,6
0,Status,6,Rec Level,6
0,KO,8,Sheathing,2
1,Blight Res,6,Expert,12
0,LightEater,6,Sharpener,7
0,Loading,4,TeamLeader,8
0,Mycology,6,Fate,7
0,Guts,4,CritStatus,6
0,PunishDraw,3,Sharpness,5
1,Unscathed,5,CritStatus,6
1,Stam Recov,7,Spirit,4
3,Wind Res,6,Guts,-1
2,Survivor,5,KO,-1
0,Elemental,4,FreeElemnt,5
2,Rapid Fire,4,Pellet Up,2
2,Tenderizer,4,Bomb Boost,3
2,Loading,3,FreeElemnt,6
0,Recoil,4,SpeedSetup,8
3,Fencing,2,Wind Res,2
0,Unscathed,3,Stun,11
3,Evade Dist,7,Evasion,1
1,Unscathed,4,Recoil,5
0,Gloves Off,8,KO,4
2,Pierce Up,4,Ice Res,7
0,Spirit,4,Guard Up,5
0,Guts,5,Constitutn,5
0,Stam Drain,6,Tenderizer,4
2,Recoil,4,Normal Up,5
0,Rec Level,7,Rec Speed,10
2,Tenderizer,3,TeamPlayer,8
0,Evasion,5,Unscathed,2
2,Fate,5,,
0,CritElemnt,3,Handicraft,6
2,Stam Drain,8,,
3,Stamina,6,Blight Res,2
3,Gloves Off,6,Rec Speed,7
0,Destroyer,6,Gloves Off,6
0,Pierce Up,6,Defense,7
0,Destroyer,6,TeamLeader,9
2,FastCharge,6,Ice Res,-5
0,TeamLeader,4,Loading,6
0,ThunderAtk,5,Dragon Res,12
0,Pellet Up,4,Health,11
2,Tenderizer,5,Sharpness,3
0,Ice Atk,5,Dragon Atk,11
2,Frenzy Res,2,Mycology,6
2,TeamLeader,5,CritStatus,4
3,Unscathed,2,Survivor,2
1,Rapid Fire,2,Potential,4
0,Rec Level,6,Stun,10
2,Loading,3,Fire Res,11
0,Fencing,5,KO,6
3,Pellet Up,6,,
2,Stam Recov,5,Guard,4
0,Reload Spd,5,Water Atk,10
0,Protection,5,Crit Draw,7
0,Carnivore,5,Evasion,5
0,Carving,5,Blight Res,2
0,Potential,7,Eating,3
0,FastCharge,5,Pierce Up,4
2,Destroyer,5,PunishDraw,2
2,Gloves Off,3,Sharpness,4
0,Rapid Fire,5,SpeedSetup,5
0,Recoil,4,Attack,11
0,Mounting,7,SpeedSetup,9
2,Dragon Atk,7,Water Atk,4
1,Tenderizer,5,FreeElemnt,2
0,TeamPlayer,5,Expert,8
0,Mounting,5,Spirit,3
1,FastCharge,4,Maestro,7
1,Blight Res,8,,
0,Covert,3,Pellet Up,2
0,Sharpness,4,Guard Up,4
0,Edge Lore,4,Constitutn,2
3,SteadyHand,3,,
0,Sharpness,5,Sheathing,3
1,Brutality,4,Protection,4
0,SteadyHand,4,Guard Up,4
2,Covert,1,Normal Up,8
2,Amplify,3,Evade Dist,5
0,Hearing,6,Rec Speed,11
